Comment,Insult
it would have been great if he would said i am his grandson i am not that old,0
actually your version is completely full of shit,1
fans are soo blind dumb refs handed game to spurs thunder made two more free throws than the spurs to and spurs still won shut it haters,1
can you please crawl back in your pathetic little hole trolls do not accept you because you are stupid as fuck,1
who told you that stupid ask yourself who kick his daughter out of the house at the age when it is comes protecting weaman you guys the last ppl on earth who can open their mounths,1
sanyu i suggest you get over cute and become competent intellectually if you reasoned like buess i would think you are compentent the way you sound makes me think your brain is in you panties bluess great reasoning great questioning and indeed you showed a sense of patriotism sanyu pull your brain out of your panties have it in the right place you might reason better than you do here,0
yyeess ziggles gets a title match fuck yeah,0
nwo are just wasting there life they only have active members lol,0
come on gets some pitches from him need that philly pen,0
if you are going to criticize the man at least spell the name right damn,0
mos po lyp me ja kthy virgjinitetin edhe motres apo nones tonde po e kan hup virgjinitetin ose e kan shit me pare e i njejti rast osht edhe me mitrovicen se baba jot hashim thadici e ka shit mitrovicen o kungull,0
i told you i would give it if you did you started acting likje a tough guy behind your moms computer then i asked you times for an address and you still will not give it,0
this is someone whose self importance got the best of him if anyone should be fired it would be tate this kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand,0
shut up stupid you said that none of them do then you said the ones who do do so to troll westerners now you are changing your story again you are truly an imbecile,1
supply side economics has never worked so svelaz what side economics does work,0
needs to give me a fucking like i am from a family of nurses they are much more liberal than i am my sister in law supports a single payer system i support getting rid of the hypocratic oath and the ama i have gotten their diagnosis even had them get me scripts from their diagnosis,0
the same with write people every one do some drug in there life ok not all black people is drug addict so i would like you to stop hating on blacks ok you prick have some respect for him god know y he do what he did ok have a bless night u prick,1
that second picture of him is not that appealing but it cancels out with that first picture i still want you in my bed kibum,0
i think hallucinations could make for a very interesting feb of writing for you,0
only black people can generalize based on race when did this happen dumb white boy your words not mine i thnk its clear you dont know what racism means you must be stupid i wouldnt presume to label your race just plain stupid,1
suck ya dads dick ya stupid slut he is waiting u u probably ugly as fuck damn i know it sucks to be you trollin on a joke i made fall back b ihurt yo feelins ho,1
i am longing for a secular humanist president,0
i have heard tell that there will not be any new pov characters in the next books,0
bitches shut ur face,1
go ahead and try dude go fucking ahead,1
shut up you are stupid dumb ass when you have stupid comment like this keep them to your self john detective conan is the best of the best so shut it up,1
i have always been a cisse fan welcome back to the epl,0
actually just got told to get to my bed fuck off jackie ya old cow,1
ky come on man the leading returning senior wr has catches,0
loins fever does that,0
the us never attacked cuba you sir are a moron is this one of facund s many user names,1
wait you said though that your country was the nice one in the world how bout you take that food from your dog and help feed the population of the world because i thought america was great right they always try to use theor ethics apparently not because losers like you are selfish andignorant,1
the muslim brotherhood has been in the usa for a hundred years i liken them to say the masons the knights of columbus,0
your wife is a loon mick wont give her the attention she wants so she kicks off a bit like a a child who doesnt get their own way she likes to be the centre of attraction grow up,0
how is defending your child vigilante justice why are you defending a child rapist are you a closet pedo,1
do not worry bitch i no more read this shit now just shut the fu ck up,1
oh cj cj cj you fat ugly bitch its just so funny how much you need us you need us to tell you that your husband would rather fuck a barbed wire covered glory hole than touch your year old moldy vagina you need us to tell you about the health problems your poor children are going to suffer thanks to your fast food and brownie diet poor tweenie is going to be teased in school for being tubby you need us to tell you how stupid you are to go off of a fucking car thermometer to determine the outside temperature and then compare it to a fucking tropical climate state like florida how the hell do you function in life oh wait you dont you sit your fat worthless ass at a computer all day ranting about gay marriage i hate to break it to you but i guarantee your darling son sam is going to grow up to be the butt pirate you so hate what are you going to do then throw a bible at his head it wont knock the gay out of him even worse little sara is going to grow up to be a liberal gasp oh nos so your tweenie is going to be a fatty sammy a gay and sara a tree hugging hippie looks like your christian mothering sucks and you should try another route might i suggest getting the fuck off the computer and going to spend time with them,1
if your iq was equal to the room temperature you would be living in a refrigerator,0
thats is complete bullshit because black people arent the only people that can have soul you sound ignorant as shit whites struggle to im black i have many of white friends thjat had it rough growing up so if you really belive that white cant relate c mon now,1
did not they say he was slow in school too they would be right,0
totally agree no western lives wasted here let arabs solve arab problems none of our business sad of course our business no bloodyway all the jokers here don t have a bloody clue what is to serve warriors don t like wars fools do,0
thats what i thought about herge but turned out he was just opinionated as fuck turn the other cheek,0
and it being summer and you are wasting it away inside is so wrong,0
substantiate your slur or should we talk about the bi sek sual in the wh do not you think the name larry sinclair should be included in your internet whispering campaign,1
they will never lear because they are stupid instead of being high on life and being happy that they are at least alive they are not happy with that they need drugs they do not care what it take to get it either or how many people that it may hurt,0
chiara hai fatto tutto da sola io ho commentato quello che ho letto r,0
you would know alot about rolls fat boy,1
and nobody partially gives a fuck about you or your garbage state,1
fuck your god,1
and you are a fag just like yo daddy,1
you do not wear your brain bucket you only hurt you and your family you become impaired you have the ability to hurt everyone,1
iammoe do you want to start a conversation on the liberal vs conservative brain i have an interesting read for you coming from the journal of psychology liberal brains bigger in areas of problem solving and complexity conservative brains bigger in areas of fear washington afp april everyone knows that liberals and conservatives bang heads when it comes to world views but scientists have now shown that their brains are actually built differently liberals have more gray matter in a part of the brain associated with understanding complexity while the conservative brain is bigger in the section related to processing fear said the study on thursday in current biology we found that greater liberalism was associated with increased gray matter volume in the anterior cingulate cortex whereas greater conservatism was associated with increased volume of the right amygdala the study said other research has shown greater brain activity in those areas according to which political views a person holds but this is the first study to show a physical difference in size in the same regions ajue ejyc wqmwfrmfw docid cng c c a f ea fa c a,0
you are literally like a robot creation from my nightmares do they have you on drips feeding all this utter horror into you let s hope we never meet i will not know whether to pray for you or just knock your lights out,1
you do not control who replies to any comment posted here,0
no you are just a moron,1
so basically you are an id iot who just repeats what maddow and rev al have to say,1
campy is sorta similar to compy which brings us to compsognathus a scavenger why i think i have gained an insight into the mind of glenn beck along the way in addition to getting a better handle on our good troll campy,0
that second year of fifth grad was a big fat waste of time you are one sad ignorant liberal troll,1
lick it clean turd breath,1
do not be fooled the girl is american van jones is an avowed communist and the other white guy following him up is an idiot an unemployed idiot i think,0
look if you are so tired take a nap i really do not care how fagged you are,0
fuck these two mellow teenage girls with beards give us plinkett review,0
how do we know terry krepel is your real name if you are not a gutless coward you will provide an address and phone number now we are paying attention don t be a gutless coward and p ssy,1
i dont care i will never agree with you in a few years we will know wait it out,0
back under your rock,1
you finally came down from your jungle tree,1
liberals think amnesty will stop illegal immigration,0
that is because you are a moron so your analysis is that the mother of the victim is the real jerk moron,1
no they aren t only you and your names,0
like you know fck face,1
damnit gw do not be such a pussy you liked the white you should have stuck with the white,1
whats your point who ever scores the most wins,0
dude if you change you username to specify against someone then you are a butthurt fag,1
he a hole i am a leaf fan and i know they are crap you did not read what i said today you hate them tomorrow you love them what are you years old with the go take a crap does your mom know you are on the computer and not in pre school getting beat up a hole does not sound so good does it,1
wow your just as dumb as look,1
pulls out plasma cutter let us do this shit i think expanding the bracket to include another games is a solid idea especially with the inclusion of pc games now as far as the division of the eras is concerned i think keeping the same set up as last year is fantastic and i think the change in demographic here will definitely make things a little more interesting i m pretty indifferent about the schedule for match ups but i love the changes you made to support blogs and regular voting although it will definitely lead to bigger and more rage inducing lulz d,0
we know what a piece of crap you are so help yourself you are nothing but pure low life,1
how many more americans casualties were incurred after nixon took over what about civilian casualties,0
stupid fool maybe you should read the article before posting,1
do not you wish you were not so fat and could dance too,1
well your buckwheat obama would qualify fagg t,1
morteza hosseini you are an idiot,1
lets see the man who lost his legs while trying to blow up civilians was iranian they arrested a second iranian trying to flee the country at the airport in bangkok do you need any more information to figure it all out at least there was no evidence that the scientists in iran were assassinated by the israeli s and were probably dealt with by the brits and the cia,0
holder and obama will be hit back from all directions and times as hard dozens inside the doj and the wh who have dignity and patriotism will turn on them both like rabid dogs this administration is goind down and right into federal prison nothing can stop it now nothing at all the people are pissed off and out for heads holder peice of shit obama fucked up sociopath,0
flagged you are a real dick,1
interleague play is retarded,0
how so straight couples keep having gay babies,0
screw you you have no idea what you are talking about,1
mr king is not it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you,1
you better hope because the marlins have a history of giving up their superstars,0
yet the heatles due to poor depth lose the series,0
first of all idiot if someone whipped my they would not be alive today nore will i go on a reality show and talk about it if memphiz did k michelle so wrong than why is she still talking about it if someone hurt me i would not even mention their name because that is how upset ill be with them judging by your repost to my comment i take it that you are a bitter ex girlfriend who probably got your head popped off by your ex boyfriend stupid moron h ting on toya s and memphiz like that go join k michelle on the jealous train tutu,1
and rape and incest that is self control too,0
go fuck yourself,1
lebron and wade doing work on the court chris bosh sitting on the bench forever alone,0
crawl back under your bridge you miserable pathetic troll,1
you just saw the chan thread today faggot,1
i am sure dumb asses like yourself will be trolling full force under our next president romney what does boyhollow mean or do we want to know,1
you are stupid,1
i love you not even kidding you just made my life whole again you are a rock star,0
another worhless post from a worthless person,1
look who is talking the payaso who sucks at both english and spanish,1
like all fools on this site you are not intelligent enough to understand an intelligent person you dolt,1
no idiot tell it to the surpreme court and you are not even funny morning asshole go back to bed,1
cher you are such a loser and an old one at that,1
do not worry you are not either,0
looked at completely objectively whose version of what really happened years ago is more plausible mine or the bible s,0
please do not you are an idiot,1
fucking hot man jeez we look alike love the fur just wish you would share a pic of your dick,0
i like all your pins haha,0
you are free to leave whenever you like tinkerbell maybe the kossacks or huffnpuff is more your style why do not you go over there and complain about their lack of balance,1
wife you are a vile racist bigot,1
two words who cares needs to sort his prepubescent face out bless him has she been made to sign the sex offenders register silly girl,0
i have absolutely great reasons not to vote obama my children he cannot be allowed to destroy their futures,0
spelling mistakes like i said ignorant asshole so go put your butt plug in and shut your mouth hahaha estkill i see your getting roasted on here already i see your bios a lil homo from detroit whose moms a whore haha i wonder whose got the bigger mouth,1
put your weak azz handle up first beetch,1
four minutes chimping out again he was shot in the one minute range from when george hung up prove it thug,1
go change your tampon maggot,1
you are so ignorant but allowed to come out and share it with us,1
it means you are stupider than average unable to punch your way out of a wet paper bag but at least you have bragging rights to bully others around with your insane liberal concepts,1
k k k or nazi i cannot tell which disease you suffer from could you please blog some more,1
ass i have never been pulled over by a guy dressed up in swat gear and i used to live in north hollywood,0
you do not deserve a call honey because you really are a slut and like your mom you will do anything for money,1
you are a piece of shit mr e mc i hope you get shot in the face next time you and your fellow gang members break into someone else house scumbag,1
no you are just stupid,1
the way this fucking hoodrat is standing in that picture is boiling my blood i would like to meet this cunt in an alley for a few minutes selfish fucking twat,1
yes this idiot annelli gots to go did you call her a gorilla lol i m done,1
some village is missing their idiot,1
tamrabam you are a moron i assume you vote labour were you there no so shut your gob maggie had the balls to kick them out in no uncertain terms non of our current leaders would do that now,1
hey dont try to make me look like the fool for thinking that way you are here just as much as he is lol,0
tell the veterans who did serve and prefer romney to go fuck themselves why do not you oh wait leftists have been doing that for years already,1
you are a fucking joke,1
no actually you have shown me no source all recent data has been shipments idiot your other comments would hurt if you were actually relevant moron of the year explain how that is still not dominant kid,1
people think the yankees are scary but nothing s as scary as the iraq lobster com watch v aidr zvzso,0
buzz off you twat,1
storobin you stole the damned election you are not wanted in my neighborhood get the hell out of here and go back to wherever it is you came from,1
nice one gordon you can do becks pie n mash for him please stay there,0
mendrys why in what planet would you be against men having the same rights and freedoms as women enjoy,0
o other that dynamic has been clear since the teabaggers threw their first tantrum in january of and rush declared that he wanted the president to fail they want the economy to suck they need the economy to suck this explains their otherwise puzzling legislative choices over the past three years,0
after finish collecting sample she sit in facing the mill and lay on a tree thinking about what has happened in the tavern whats madness could deceive a man with survival knowledge could it be something relate about this quest maybe or maybe not then she came back to concentrate on the surounding,0
henri your a gutter moron and the lies you sprew mean nothing you are an inept lil piece of garbage that no one takes seriously you are just in here to get the attention you lack in real life scooter you are quite pathetic,1
that bitch was dead wrong just because she had a fucked up life dont mean take someone else r i p hernandez life gone before he got to live it senseless at t giving out iphones for a penny fuck it let that bitch dial collect for the rest of her life she dont even deserve that much stupid bitch,1
go vote for him then nobody else is he broke this country anyway wasnt talking about you just the person that likes child molesters,0
make it a reagan horns blow statue and you got a deal,0
soy ingeniero en jardineria y es yardero y no se usan insectizidas si no fertilizante y io no lo aplico solo opero las maquinass desde una hasta una,0
idiot is yr father,1
video breitbart vs cenk uygar over rape at occupy camps posted at pm on february by allahpundit via breitbart tv i should have guessed that eventually we d be arguing over whether occupy has a problem with crime notwithstanding the long long long long long list of alleged criminal activities at the encampaments remember things at zuccotti park got so bad that a women only tent was set up so that there d be strength in numbers against sexual predators some feminist sites criticized occupy for its rape problem back during the movement s brief heyday even huffpo reported on multiple incidents of assault drug dealing and drug use rape and attempted rape according to conversations with numerous protesters per breitbart in the clip that detail apparently didn t make it into their book and of course we only know about some of what went on at least one occupy camp reminded victims that we do not encourage the involvement of the police in our community and a new york city cop told big journalism s joel pollak that there are many incidents of sexual touching and groping that goes unreported to us mainly because the alleged victim is either too stoned or high to properly id them or they dont want to get the guy in trouble some national media outlets reported on the attacks too this is why of course breitbart was yelling at the occupiers outside cpac to stop raping people but now that the movement is gearing up for a big spring comeback i guess it s time for the left s whitewash to being in earnest it s a nice bookend to their demagoguery over the tucson shooting in that case tea partiers were blamed for a crime that no tea partier committed whereas here no occupiers are blamed for a crime that quite a few occupiers allegedly committed fourteen minutes but well worth it video breitbart vs cenk uygar over rape at occupy camps,0
your dad is a pecker jerk,1
you are not alone,0
i too am guilty of over moisturizing my hair its hard to get that balance sometimes i started using protein based conditioners such as aubrey organics gpb weekly and heavy duty protein treatments every weeks and that is been helping a lot,0
dan amd you have realy no clue on every single idiotic comment of all your posts we all do not enjoy your stupid pro amd b u l l s h i t ignorance please crawl back then in the fat ass of your gay loving buddy charliedemerjian semiinaccurate and try to find the light inside u stupid fag we realy do not need and want your post here anymore,1
stop whining you moron democrats you backed afucking no brain marxist loser in now pay the price,1
idiot,1
hey scrotorum dislodge that teabag from your throat and swallow some truth you are insane,1
and your word sure the fuck does not a mandate make of your genes are shared with a fucking banana get over yourself,1
we are mostly straight henri the view is for gay dudes like you isn t it,0
you call people racist idiots yet you say you are mad that your momma wants a nice black p nis in her life you sound like the idiot to me loser,1
you are really an idiot,1
you get the ridicule because you are a fuk n pos pr ck little troll,1
stfu cause you are not talking to roger and roger definetely did not make those comments those comments were made by some random idiot who made up a fake twitter account or some random idiot who hacked into roger s twitter account do you really think a man of roger s position will make those hatefull coments,0
hahahahahahahahah he is a loser,1
we are talking about murder here racist a s s hole,1
malia go take an intelligence test so you can see in black and white how room temp you are then get rid of the dog now if for any reason you cannot do these two things then start spelling your name the right way i d i o t,1
self defense that little girl must pack a mean punch,0
define the war on women please you mean requiring me to pay for your birth control that is about it you are dead on with the talking points,0
welcome to the crowd fellow idiot,1
dan amd you have realy no clue on every single idiotic comment of all your posts we all do not enjoy your stupid pro amd b u l l s h i t ignorance please crawl back then in the fat ass of your gay loving buddy charlie demerjian semiinaccurate and try to find the light inside u stupid fag we realy do not need and want your post here anymore,1
it is tupac motherfucker the illuminati did not kill me and i am alive and well,0
you sir madam are a d ck,1
fuck you you fucking dork,1
what a fool you are we all know that you think of nothing more than being gay,1
if it proves anything it proves that you are not an idiot,1
you are stupid,1
they want big business to be successful only until they have to pay for that success,0
it is true that i am in the us however i earned my way to be here legally and without harambee as you put it every part of my life is good and i am content with my academic achievement and success academic and in life so far i will not justify how intelligent i am cos it is stupid to do so people who are intelligent or smart never justify their ability cos their actions easily show their abilities it is only idiots like you who feel insecure about themselves and they try to justify to others that they are smart your ill feelings about me being in the us cannot bar me from being successful in life sorry for who you are,0
hi elvis totally agree with everything you said especially jac and her messed up misguided daughter whom she continued to bad mouth and trashing i would never share with the world that my daughter called her dad an a hole like jac did the menzos are all losers as you said and jac is a demented drunk she punched bozo manzo and pulled ashley hair pretty sure she said that early this season in her talking head,0
i still dont see why half of you niggas click on every video that he post on wshh just to hate if he so wack why the fuck you even click the video based,1
i bet you take monstrous shits,1
are you putana,0
until medical staff are held accountable in a court of law mistakes like this are always gonna happen nhs trusts dont care about fines as it is ony tax payers money and not there own,0
all you do is sit on this site and hate on every successful artist you are the epitome of a crab you broke muther fucker dumb bitch,1
have you seen birdsong yet,0
jeff bootstraps fisher is a troll anyone feel free to add to what you think of him,1
i thinks you sounds lika real stoopid mofo iffen i was to sees you hangin ona corner i would be wantin to hurt you real bad,1
i liked your comment not because it was sensible but because it was so far ny,0
so is your mom,0
gop taliban of the west they just banned happy hour in utah folks they are now up in arms about contraceptives oh boy heaven forbid folks have easy access to preventing unwanted pregancies and std s meanwhile the elders in these religions continue to harbor or condone child rape,0
and who protects us from you when you decide you do not like our political views or our religion or the color of our skin and how is asking for some reasonable safety precautions taking away your rights,0
you got that right afro american negro we do not have respect for negro s who is still a pu cee to the clans from the south so they make up an excuse to destroy one another cannot face the klans to get revenge,1
get i life u bitch avande ammede oru lekhanam,1
mayne shut the f ck up hoes you hatin heffas are just mad that jonesy can see her cooch and does not have to use a mirror tied to her foot to see how to wash the mothaf cka you fat ugly stank weave wearin bytches are a got damn mess now do not get me wrong jonesy needs a better stylist for her shyt too but she still looks better than the majority of you wack a ed fat hoes on here,1
a moron because this person does not have your point of view,0
you clearly do not know him,0
what you see is your hate for him,0
idiot nayar you are mother fucker you are saying attack on shri harmandir sahib was a right action this shows you negative thinking about sikh community all siks are agree with building memorial thats why any sikh organisation does not oppose you have no concern with issues of punjab the wording you used in this article is very rude and this shows your hate about sikh community you are barking dog we do not care you,1
romney urged everyone to be successful like him borrow money from dad for your harvard education borrow money from dad to start a private equity company then pay back dad and declare yourself a self made man maybe obama heeded his advice and borrowed money from romney s dad to get a harvard education,0
yep i know you are a beach baby x,0
you cannot even spell you idiot you would watch that dumb shit,1
he did not do anything to take away guns even from buffoons like you,1
great another one really we do not need any more of this crap your life sucks people judge you good job go tell your mom not the internet we don t care same with the stupid anti religious or conversely religious posts on dbpb okay so you do not think that abortion is bad okay then you do not need to shout it out to the world just like you do not think religion should exist that it is evil ect yeah yeah god bless ya we do not need to hear it on this site all it does it annoy people and start flame wars only thing flame wars are good for are to roast marshmallows sorry guys i think i am on some sort of man period,0
yes but he had a distinct view on this continent in particular something to the effect they had gold and diamonds literally in the dirt beneath their feet yet in the thousands of years they walked its surface they never bothered to look down and imagine the possibilities he elaborates on the subject,0
i laugh at women like this the audacious to stand there and actually accept this as normal give women such a bad name being that does not drive and been unemployed a month now having nothing but personality to offer someone i am glad i have what i have and lets be honest she is not a looker is she,0
you cannot see it because you are a clueless idiot show me how he is helping the middle class you stupid obama semen slurper,1
you are a liar i was on that night dealing with two of you trolls an hour before anyone showed up this is not a physical fight here on this screen you moron in order for what you say to be the truth i would have to sit back and say nothing while others fight for me and if that were so you would never have been reading me for some time it s one thing for you to be a liar but quite something else for you to be a stupid liar,1
we are dumb and doomed,0
perhaps it will make you feel better to know that my wife hit a cyclist with her car accidentally a few months ago because he was riding on the sidewalks and popped out in front of her in the intersection she was not ticketed but the cyclist got a stern warning from the cops,0
ol girl in the purple would get it with her fat ass lookin at her wooble that ass made my dick hard i am jus sayin,1
if i looked like that i would have to end it not my picture that is our adorable smelly melly,0
p track dawg s mason looks to rs so it is either lemay and bauta as the backup,0
a hammer a hammer works break in with one of those hard rubber ones if you are a sensitive sort,0
that is funny i bet you cannot get a citizenship you probably do not even have your g e d hahaha you apes speak english and then you have people that become doctors from other countries that do not even speak english just look at you typing like a baboon all in capital letters you should appreciate that you were born in the u s otherwise you would never attain citizenship whos the st president you do not fucking know stupid ape,1
never ratified get the fuck out of here and go back to your silo,1
fuck hard then fuck slow then fuck hard and then start again,0
did you ever stop to consider that humans have encroached on a lot of the wildlife s territory,0
you with the racist screen name you are a pieceofshit,1
but jack from raleigh was not done he came back with this bit of furious grammatical genius holy hell jack calm down god d mn hilarious who writes your material grazid mm never even acknowledged we were here well accept when uber ticked him off grazid not only interacts with us he calls you dumb when you are being dumb right beeaner,0
tool the difference is that i do not go around trash talking in android articles are you that fukn stoopid i never read android shit damn ur such a fukn idiot your idiocy has literally upset me how can a human be that fukn stoopid,1
dan amd you have realy no clue on every single idiotic comment of all your posts we all do not enjoy your stupid pro amd b u l l s h i t ignorance please crawl back then in the fat ass of your gay loving buddy charliedemerjian semiinaccurate and try to find the light inside u stupid fag we realy do not need and want your post here anymore,1
how about trying this have your kids come home before am say about pm he is take responsability for your kids,0
you stupid shit stop spamming delete his profile,1
audrey your idiocy about israel s strategy is simply your idiocy of course israel is appalled by the deliberate targeting and murder of civilians brainless cretin,1
did not he beat the dodgers earlier this year,0
gay douch e turd fuck,1
i would be quite happy to win this and try it out,0
before calling others stupid you gay piece of shit you should check the spelling of your own username because it seems that you forgot to complete its spelling dild o dildo ur extremely gay,1
you are the sicko you bitch you know what your whole life is ugly and there is not one thing that people like about you get a life and do not tell me what to do bitch i will punch yo face till you turn purple,1
phrase immediately popped into my head i pity da fool although i cannot remember who said it a boxer maybe and yeah how many times now has she taken the time to tweet and tweet and tweet some more about this friend or that friend katie always kowtows to her haters never her sheep,0
